Date,Category,Subcategory,Amount,Distance,Description
2026-08-01,Food,Vegetables,12.00,0.00,
2026-08-02,Food,Fruits,12.008.00,0.000.00,Grapes
2026-08-03,Transportation,Car,12.008.0045.00,0.000.0010.50,
2026-08-03,Food,Snacks,12.008.0045.006.00,0.000.0010.500.00,Chips and drinks
2026-08-04,Rental,Electricity,12.008.0045.006.0075.00,0.000.0010.500.000.00,
2026-08-04,Rental,Water,12.008.0045.006.0075.0030.00,0.000.0010.500.000.000.00,
2026-08-05,Transportation,Bicycle,12.008.0045.006.0075.0030.000.00,0.000.0010.500.000.000.003.20,
2026-08-06,Food,Vegetables,12.008.0045.006.0075.0030.000.009.00,0.000.0010.500.000.000.003.200.00,Broccoli and carrots
2026-08-06,Others,Stationery,12.008.0045.006.0075.0030.000.009.0012.00,0.000.0010.500.000.000.003.200.000.00,Notebooks and pens
2026-08-07,Rental,Room,12.008.0045.006.0075.0030.000.009.0012.00350.00,0.000.0010.500.000.000.003.200.000.000.00,
